"show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description"
"s1,Movie,Ricky Velez: Here's Everything,,,,""October 24, 2021"",2021,TV-MA,,""Comedy, Stand Up"",​Comedian Ricky Velez bares it all with his honest lens and down to earth perspective in his first-ever HBO stand-up special."
"s2,Movie,Silent Night,,,,""October 23, 2021"",2020,,94 min,""Crime, Drama, Thriller"",""Mark, a low end South London hitman recently released from prison, tries to go straight for his daughter, but gets drawn back in by Alan, his former cellmate, to do one final job."""
"s3,Movie,The Marksman,,,,""October 23, 2021"",2021,PG-13,108 min,""Action, Thriller"",A hardened Arizona rancher tries to protect an 11-year-old migrant boy fleeing from a ruthless drug cartel."
"s4,Movie,Gaia,,,,""October 22, 2021"",2021,R,97 min,Horror,A forest ranger and two survivalists with a cultish devotion to the forest face the threat of an unrelenting wilderness when a strange being attacks one night."
"s5,Movie,Settlers,,,,""October 22, 2021"",2021,,104 min,""Science Fiction, Thriller"",Mankind's earliest settlers on the Martian frontier do what they must to survive the cosmic elements and each other in this science-fiction thrill ride."
"s6,TV Show,The Halloween Candy Magic Pet,,,,""October 22, 2021"",2021,,1 Season,""Family, Kids"",""Join Mila and Morphle on a mystery-filled Halloween adventure! Jam packed with morphs, costumes, twists turns and spooky morphing fun. This 22-minute Halloween Special will be a kooky, spooky ride! We meet new Magic Pet Candyray who can turn anything or anyone into candy! We also meet Felipe at the farm, who joins our heroes on their crazy adventure in his corn maze. There's a race against time to decorate the Magic Pet Center in time for the Halloweenist House Contest, but with Orphle and the Bandits getting in their way...it won't be easy. Perhaps Candyray holds the key!"""
"s7,Movie,The Evil Next Door,,,,""October 21, 2021"",2020,,88 min,""Horror, Thriller"",""New to her role as a stepmom, a young woman moves into a duplex with her partner and his five-year-old son Lucas. Soon, strange noises start coming from the empty house adjoining theirs. Also, who is Lucas’s new friend?"""
"s8,TV Show,The Next Thing You Eat,,,,""October 21, 2021"",2021,,1 Season,""Cooking & Food, Documentaries, Lifestyle & Culture"",""With the unique insights and experience of Ugly Delicious creators Morgan Neville and David Chang take a tangy look at food and our relationship to it past, present and future. Why do we eat what we eat and are we missing something better? What will we be eating in the future and why?"""
"s9,TV Show,Queens,,,,""October 20, 2021"",2021,TV-14,1 Season,""Drama, Music"",Four women in their 40s reunite for a chance to recapture their fame and regain the swagger they had as legends in the 1990s hip-hop world."
"s10,TV Show,The Bachelorette,,,United States,""October 20, 2021"",2003,TV-14,3 Seasons,""Reality, Romance"",""ABC's romance reality show lets one lucky lady narrow the field of bachelors, leaving only her dream man."""
"s11,TV Show,The Real Queens of Hip-Hop: The Women Who Changed the Game,,,,""October 19, 2021"",2021,,1 Season,""Music, News"",The ABC News special explores the inspiring rise of women in hip-hop and is narrated by Cheryl “Salt” James of Salt-N-Pepa."
